title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
PropVG: End-to-End Proposal-Driven Visual Grounding with Multi-Granularity Discrimination	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Dai_PropVG_End-to-End_Proposal-Driven_Visual_Grounding_with_Multi-Granularity_Discrimination_ICCV_2025_paper.html		auto					main
Learning Visual Proxy for Compositional Zero-Shot Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_Learning_Visual_Proxy_for_Compositional_Zero-Shot_Learning_ICCV_2025_paper.html		auto					main
UPRE: Zero-Shot Domain Adaptation for Object Detection via Unified Prompt and Representation Enhancement	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_UPRE_Zero-Shot_Domain_Adaptation_for_Object_Detection_via_Unified_Prompt_ICCV_2025_paper.html		auto					main
Heavy Labels Out! Dataset Distillation with Label Space Lightening	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yu_Heavy_Labels_Out_Dataset_Distillation_with_Label_Space_Lightening_ICCV_2025_paper.html		auto					main
EgoAgent: A Joint Predictive Agent Model in Egocentric Worlds	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Chen_EgoAgent_A_Joint_Predictive_Agent_Model_in_Egocentric_Worlds_ICCV_2025_paper.html		auto					main
Is Less More? Exploring Token Condensation as Training-free Test-time Adaptation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_Is_Less_More_Exploring_Token_Condensation_as_Training-free_Test-time_Adaptation_ICCV_2025_paper.html		auto					main
Global Motion Corresponder for 3D Point-Based Scene Interpolation under Large Motion	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Lin_Global_Motion_Corresponder_for_3D_Point-Based_Scene_Interpolation_under_Large_ICCV_2025_paper.html		auto					main
Revelio: Interpreting and leveraging semantic information in diffusion models	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Kim_Revelio_Interpreting_and_leveraging_semantic_information_in_diffusion_models_ICCV_2025_paper.html		auto					main
Spatial-Temporal Aware Visuomotor Diffusion Policy Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Liu_Spatial-Temporal_Aware_Visuomotor_Diffusion_Policy_Learning_ICCV_2025_paper.html		auto					main
FixTalk: Taming Identity Leakage for High-Quality Talking Head Generation in Extreme Cases	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tan_FixTalk_Taming_Identity_Leakage_for_High-Quality_Talking_Head_Generation_in_ICCV_2025_paper.html		auto					main
CVPT: Cross Visual Prompt Tuning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Huang_CVPT_Cross_Visual_Prompt_Tuning_ICCV_2025_paper.html		auto					main
On the Robustness Tradeoff in Fine-Tuning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Li_On_the_Robustness_Tradeoff_in_Fine-Tuning_ICCV_2025_paper.html		auto					main
VisRL: Intention-Driven Visual Perception via Reinforced Reasoning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Chen_VisRL_Intention-Driven_Visual_Perception_via_Reinforced_Reasoning_ICCV_2025_paper.html		auto					main
Category-Specific Selective Feature Enhancement for Long-Tailed Multi-Label Image Classification	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Du_Category-Specific_Selective_Feature_Enhancement_for_Long-Tailed_Multi-Label_Image_Classification_ICCV_2025_paper.html		auto					main
Corvid: Improving Multimodal Large Language Models Towards Chain-of-Thought Reasoning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Jiang_Corvid_Improving_Multimodal_Large_Language_Models_Towards_Chain-of-Thought_Reasoning_ICCV_2025_paper.html		auto					main
COSMO: Combination of Selective Memorization for Low-cost Vision-and-Language Navigation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_COSMO_Combination_of_Selective_Memorization_for_Low-cost_Vision-and-Language_Navigation_ICCV_2025_paper.html		auto					main
STI-Bench: Are MLLMs Ready for Precise Spatial-Temporal World Understanding?	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Li_STI-Bench_Are_MLLMs_Ready_for_Precise_Spatial-Temporal_World_Understanding_ICCV_2025_paper.html		auto					main
CAD-Assistant: Tool-Augmented VLLMs as Generic CAD Task Solvers	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Mallis_CAD-Assistant_Tool-Augmented_VLLMs_as_Generic_CAD_Task_Solvers_ICCV_2025_paper.html		auto					main
BoxDreamer: Dreaming Box Corners for Generalizable Object Pose Estimation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yu_BoxDreamer_Dreaming_Box_Corners_for_Generalizable_Object_Pose_Estimation_ICCV_2025_paper.html		auto					main
3DGraphLLM: Combining Semantic Graphs and Large Language Models for 3D Scene Understanding	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zemskova_3DGraphLLM_Combining_Semantic_Graphs_and_Large_Language_Models_for_3D_ICCV_2025_paper.html		auto					main
VGMamba: Attribute-to-Location Clue Reasoning for Quantity-Agnostic 3D Visual Grounding	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhu_VGMamba_Attribute-to-Location_Clue_Reasoning_for_Quantity-Agnostic_3D_Visual_Grounding_ICCV_2025_paper.html		auto					main
Evidential Knowledge Distillation	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Xiang_Evidential_Knowledge_Distillation_ICCV_2025_paper.html		auto					main
A Framework for Double-Blind Federated Adaptation of Foundation Models	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Tastan_A_Framework_for_Double-Blind_Federated_Adaptation_of_Foundation_Models_ICCV_2025_paper.html		auto					main
Partial Forward Blocking: A Novel Data Pruning Paradigm for Lossless Training Acceleration	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wu_Partial_Forward_Blocking_A_Novel_Data_Pruning_Paradigm_for_Lossless_ICCV_2025_paper.html		auto					main
FedPall: Prototype-based Adversarial and Collaborative Learning for Federated Learning with Feature Drift	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_FedPall_Prototype-based_Adversarial_and_Collaborative_Learning_for_Federated_Learning_with_ICCV_2025_paper.html		auto					main
From Easy to Hard: Progressive Active Learning Framework for Infrared Small Target Detection with Single Point Supervision	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yu_From_Easy_to_Hard_Progressive_Active_Learning_Framework_for_Infrared_ICCV_2025_paper.html		auto					main
A Constrained Optimization Approach for Gaussian Splatting from Coarsely-posed Images and Noisy Lidar Point Clouds	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Peng_A_Constrained_Optimization_Approach_for_Gaussian_Splatting_from_Coarsely-posed_Images_ICCV_2025_paper.html		auto					main
BabyVLM: Data-Efficient Pretraining of VLMs Inspired by Infant Learning	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_BabyVLM_Data-Efficient_Pretraining_of_VLMs_Inspired_by_Infant_Learning_ICCV_2025_paper.html		auto					main
Contact-Aware Amodal Completion for Human-Object Interaction via Multi-Regional Inpainting	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Chi_Contact-Aware_Amodal_Completion_for_Human-Object_Interaction_via_Multi-Regional_Inpainting_ICCV_2025_paper.html		auto					main
Ultra-Precision 6DoF Pose Estimation Using 2-D Interpolated Discrete Fourier Transform	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Shi_Ultra-Precision_6DoF_Pose_Estimation_Using_2-D_Interpolated_Discrete_Fourier_Transform_ICCV_2025_paper.html		auto					main
Uncertainty-Aware Gradient Stabilization for Small Object Detection	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Sun_Uncertainty-Aware_Gradient_Stabilization_for_Small_Object_Detection_ICCV_2025_paper.html		auto					main
Radiant Foam: Real-Time Differentiable Ray Tracing	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Govindarajan_Radiant_Foam_Real-Time_Differentiable_Ray_Tracing_ICCV_2025_paper.html		auto					main
Attention to the Burstiness in Visual Prompt Tuning!	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Wang_Attention_to_the_Burstiness_in_Visual_Prompt_Tuning_ICCV_2025_paper.html		auto					main
R1-Onevision: Advancing Generalized Multimodal Reasoning through Cross-Modal Formalization	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yang_R1-Onevision_Advancing_Generalized_Multimodal_Reasoning_through_Cross-Modal_Formalization_ICCV_2025_paper.html		auto					main
HIS-GPT: Towards 3D Human-In-Scene Multimodal Understanding	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhao_HIS-GPT_Towards_3D_Human-In-Scene_Multimodal_Understanding_ICCV_2025_paper.html		auto					main
Learnable Logit Adjustment for Imbalanced Semi-Supervised Learning under Class Distribution Mismatch	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Lee_Learnable_Logit_Adjustment_for_Imbalanced_Semi-Supervised_Learning_under_Class_Distribution_ICCV_2025_paper.html		auto					main
Enhancing Transformers Through Conditioned Embedded Tokens	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Saratchandran_Enhancing_Transformers_Through_Conditioned_Embedded_Tokens_ICCV_2025_paper.html		auto					main
CryoFastAR: Fast Cryo-EM Ab initio Reconstruction Made Easy	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhang_CryoFastAR_Fast_Cryo-EM_Ab_initio_Reconstruction_Made_Easy_ICCV_2025_paper.html		auto					main
Hints of Prompt: Enhancing Visual Representation for Multimodal LLMs in Autonomous Driving	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhou_Hints_of_Prompt_Enhancing_Visual_Representation_for_Multimodal_LLMs_in_ICCV_2025_paper.html		auto					main
RegGS: Unposed Sparse Views Gaussian Splatting with 3DGS Registration	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Cheng_RegGS_Unposed_Sparse_Views_Gaussian_Splatting_with_3DGS_Registration_ICCV_2025_paper.html		auto					main
RALoc: Enhancing Outdoor LiDAR Localization via Rotation Awareness	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Yang_RALoc_Enhancing_Outdoor_LiDAR_Localization_via_Rotation_Awareness_ICCV_2025_paper.html		auto					main
LLaVA-3D: A Simple yet Effective Pathway to Empowering LMMs with 3D Capabilities	ICCV			https://openaccess.thecvf.com//content/ICCV2025/html/Zhu_LLaVA-3D_A_Simple_yet_Effective_Pathway_to_Empowering_LMMs_with_ICCV_2025_paper.html		auto					main
