title	venue	code_url	arxiv_id	paper_url	code_commit	status	notes	repo_valid	stars	domain	venue_track
ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching	NeurIPS	https://github.com/Guhuary/ForceFM		https://openreview.net/forum?id=e7HEbUVryj	67ee0ae5d5527e4fc23d45f730137eeaab854895	auto		True			poster
BridgePure: Limited Protection Leakage Can Break Black-Box Data Protection	NeurIPS			https://openreview.net/forum?id=JebheQvpIb		auto					poster
Learning Neural Exposure Fields for View Synthesis	NeurIPS			https://openreview.net/forum?id=N6ZzwaYSxQ		auto					poster
InstructRestore: Region-Customized Image Restoration with Human Instructions	NeurIPS	https://github.com/shuaizhengliu/InstructRestore.git		https://openreview.net/forum?id=utA0BT3BKF	9ceafeb507749b34b5d2d5ff8f650c4a8429ab23	auto		True			poster
Tractable Multinomial Logit Contextual Bandits with Non-Linear Utilities	NeurIPS			https://openreview.net/forum?id=kNoh1TuV4R		auto					poster
RadZero: Similarity-Based Cross-Attention for Explainable Vision-Language Alignment in Chest X-ray with Zero-Shot Multi-Task Capability	NeurIPS	https://github.com/deepnoid-ai/RadZero		https://openreview.net/forum?id=WQq5JPGQ0C	656ae5f1af3f106e96c95542ce3ee5c0ee8777fc	auto		True			poster
Meta CLIP 2: A Worldwide Scaling Recipe	NeurIPS	https://github.com/facebookresearch/MetaCLIP		https://openreview.net/forum?id=aYRNINhNGV	f47f7841f6a91cc5676729a3d125519393d87d1e	auto		True			spotlight
Policy Compatible Skill Incremental Learning via Lazy Learning Interface	NeurIPS			https://openreview.net/forum?id=xmYT1JqVpj		auto					spotlight
Adaptive Context Length Optimization with Low-Frequency Truncation for Multi-Agent Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=4BsrGHtvW5		auto					poster
Graph Your Own Prompt	NeurIPS			https://openreview.net/forum?id=7tXGIbrIA5		auto					poster
Predicting Empirical AI Research Outcomes with Language Models	NeurIPS			https://openreview.net/forum?id=a64D9Vl7wK		auto					poster
Estimating cognitive biases with attention-aware inverse planning	NeurIPS			https://openreview.net/forum?id=lNPo3FAMsl		auto					spotlight
Boosting Knowledge Utilization in Multimodal Large Language Models via Adaptive Logits Fusion and Attention Reallocation	NeurIPS	https://github.com/Lackel/ALFAR		https://openreview.net/forum?id=qYkhCah8OZ	9bc4750be73e5d301f279e95a17eb145acf75fab	auto		True			oral
The Logical Expressiveness of Temporal GNNs via Two-Dimensional Product Logics	NeurIPS			https://openreview.net/forum?id=v13yQBxhut		auto					poster
Practical Kernel Selection for Kernel-based Conditional Independence Test	NeurIPS			https://openreview.net/forum?id=R1CximX3Cw		auto					poster
Geometric Logit Decoupling for Energy-Based Graph Out-of-distribution Detection	NeurIPS			https://openreview.net/forum?id=gPPPfwU4jj		auto					poster
An Efficient Orlicz-Sobolev Approach for Transporting Unbalanced Measures on a Graph	NeurIPS			https://openreview.net/forum?id=VymXLPX6Ps		auto					spotlight
Entropy-Calibrated Label Distribution Learning	NeurIPS			https://openreview.net/forum?id=uGjTP2kFcX		auto					poster
Causality Meets the Table: Debiasing LLMs for Faithful TableQA via Front-Door Intervention	NeurIPS			https://openreview.net/forum?id=zlMupLoKRf		auto					poster
WorldMem: Long-term Consistent World Simulation with Memory	NeurIPS			https://openreview.net/forum?id=c6CAVKlKmU		auto					poster
DeepDiver: Adaptive Web-Search Intensity Scaling via Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=CqLWckpTbG		auto					spotlight
Enhancing LLM Planning for Robotics Manipulation through Hierarchical Procedural Knowledge Graphs	NeurIPS			https://openreview.net/forum?id=8LO0vLRXpz		auto					poster
MOOSE-Chem2: Exploring LLM Limits in Fine-Grained Scientific Hypothesis Discovery via Hierarchical Search	NeurIPS			https://openreview.net/forum?id=Q3DtkFJ1Ap		auto					poster
DevFD : Developmental Face Forgery Detection by Learning Shared and Orthogonal LoRA Subspaces	NeurIPS			https://openreview.net/forum?id=Xpuci4SV06		auto					poster
Interactive Cross-modal Learning for Text-3D Scene Retrieval	NeurIPS	https://github.com/Yangl1nFeng/IDeal		https://openreview.net/forum?id=fohuurA03P	c6920c848d5007b778a40ab3d486b906ce2c2c37	auto		True			oral
Space Group Equivariant Crystal Diffusion	NeurIPS	https://github.com/rees-c/sgequidiff		https://openreview.net/forum?id=NWP8KYKC0c	2231031fdabbf6b372031f3f233f8638922fa91e	auto		True			poster
Agents Robust to Distribution Shifts Learn Causal World Models Even Under Mediation	NeurIPS			https://openreview.net/forum?id=JvHif4fyeP		auto					poster
MetaGS: A Meta-Learned Gaussian-Phong Model for Out-of-Distribution 3D Scene Relighting	NeurIPS			https://openreview.net/forum?id=UXc87Orcri		auto					spotlight
Collective Counterfactual Explanations: Balancing Individual Goals and Collective Dynamics	NeurIPS			https://openreview.net/forum?id=kaU1No4iiI		auto					poster
OASIS: One-Shot Federated Graph Learning via Wasserstein Assisted Knowledge Integration	NeurIPS			https://openreview.net/forum?id=FvXI7DNQfz		auto					poster
Obliviator Reveals the Cost of Nonlinear Guardedness in Concept Erasure	NeurIPS			https://openreview.net/forum?id=GcjpjIHDZn		auto					poster
Towards a Pairwise Ranking Model with Orderliness and Monotonicity for Label Enhancement	NeurIPS			https://openreview.net/forum?id=4WQ5Qgpl2F		auto					spotlight
Mamba Only Glances Once (MOGO): A Lightweight Framework for Efficient Video Action Detection	NeurIPS	https://github.com/YunqingLiu-ML/MOGO		https://openreview.net/forum?id=O880k3JoC8	94f81c1469c5743a151bba8d50099d04cef0134e	auto		True			poster
Spend Wisely: Maximizing Post-Training Gains in Iterative Synthetic Data Bootstrapping	NeurIPS			https://openreview.net/forum?id=aqpHTPC63N		auto					spotlight
Demystifying Reasoning Dynamics with Mutual Information: Thinking Tokens are Information Peaks in LLM Reasoning	NeurIPS	https://github.com/ChnQ/MI-Peaks		https://openreview.net/forum?id=E1FrjgaG1J	bcee82c9fbdaa4183fae8e7c3c54de21870680e3	auto		True			poster
Training-Free Guidance Beyond Differentiability: Scalable Path Steering with Tree Search in Diffusion and Flow Models	NeurIPS			https://openreview.net/forum?id=nqVLJTPoQC		auto					poster
Fast-Slow Thinking GRPO for Large Vision-Language Model Reasoning	NeurIPS			https://openreview.net/forum?id=MI1uT5rReV		auto					spotlight
Elevating Visual Perception in Multimodal LLMs with Visual Embedding Distillation	NeurIPS			https://openreview.net/forum?id=AZ1iyo58F8		auto					poster
Amplifying Prominent Representations in Multimodal Learning  via Variational Dirichlet Process	NeurIPS	https://github.com/HKU-MedAI/DPMM.git		https://openreview.net/forum?id=dC5TWysDsZ	17d0314ff0b21dde31f3f932e02d4683826029aa	auto		True			poster
NFIG: Multi-Scale Autoregressive Image Generation via Frequency Ordering	NeurIPS			https://openreview.net/forum?id=nHNYDM6PVz		auto					poster
Optimal Dynamic Regret by Transformers for Non-Stationary Reinforcement Learning	NeurIPS			https://openreview.net/forum?id=ILP0eZAor6		auto					poster
Vocabulary-Guided Gait Recognition	NeurIPS			https://openreview.net/forum?id=q5L7jygjpi		auto					poster
Exploration via Feature Perturbation in Contextual Bandits	NeurIPS			https://openreview.net/forum?id=gAddPMjmUc		auto					spotlight
UltraLED: Learning to See Everything in Ultra-High Dynamic Range Scenes	NeurIPS			https://openreview.net/forum?id=zZLfHw4Erp		auto					poster
Enhancing Vision-Language Model Reliability with Uncertainty-Guided Dropout Decoding	NeurIPS			https://openreview.net/forum?id=LAflniLUwx		auto					poster
VASA-3D: Lifelike Audio-Driven Gaussian Head Avatars from a Single Image	NeurIPS			https://openreview.net/forum?id=iLbXyPNTeb		auto					poster
The VLLM Safety Paradox: Dual Ease in Jailbreak Attack and Defense	NeurIPS			https://openreview.net/forum?id=gpCleSGCkV		auto					poster
SEEA-R1: Tree-Structured Reinforcement Fine-Tuning for Self-Evolving Embodied Agents	NeurIPS			https://openreview.net/forum?id=dAwKePZvcN		auto					poster
Distributed mediation analysis with  communication efficiency	NeurIPS			https://openreview.net/forum?id=fqsxfizLpk		auto					poster
X2-DFD: A framework for explainable and extendable Deepfake Detection	NeurIPS	https://github.com/chenyize111/X2DFD		https://openreview.net/forum?id=tAKbMv3sf7	215247cad7c604481280aa6fb924e750ffefc98d	auto		True			poster
AdaptGrad: Adaptive Sampling to Reduce Noise	NeurIPS			https://openreview.net/forum?id=nWO8SkQYqJ		auto					poster
Simple Distillation for One-Step Diffusion Models	NeurIPS			https://openreview.net/forum?id=NHw8muIAcL		auto					poster
Instance-Optimality for Private KL Distribution Estimation	NeurIPS			https://openreview.net/forum?id=K0FbK2GOGj		auto					spotlight
DMWM: Dual-Mind World Model with Long-Term Imagination	NeurIPS			https://openreview.net/forum?id=Bzlt5tPFT6		auto					spotlight
TimeWak: Temporal Chained-Hashing Watermark for Time Series Data	NeurIPS			https://openreview.net/forum?id=akhhwQh6UV		auto					spotlight
WebThinker: Empowering Large Reasoning Models with Deep Research Capability	NeurIPS	https://github.com/RUC-NLPIR/WebThinker		https://openreview.net/forum?id=7LKKHBAMzH	db387eb3261de9b5e2db7d2d7fb20af2aceb7882	auto		True			poster
Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing	NeurIPS			https://openreview.net/forum?id=fozfLcLAEt		auto					poster
Abstract Counterfactuals for Language Model Agents	NeurIPS			https://openreview.net/forum?id=ifMZw5fm7K		auto					poster
KVFlow: Efficient Prefix Caching for Accelerating LLM-Based Multi-Agent Workflows	NeurIPS			https://openreview.net/forum?id=5Iw1nDtYmT		auto					poster
Wisdom is Knowing What not to Say: Hallucination-Free LLMs Unlearning via Attention Shifting	NeurIPS			https://openreview.net/forum?id=LNWyf2RR1V		auto					poster
UFT: Unifying Supervised and Reinforcement Fine-Tuning	NeurIPS			https://openreview.net/forum?id=usOkGv1S7M		auto					poster
A faster training algorithm for regression trees with linear leaves, and an analysis of its complexity	NeurIPS			https://openreview.net/forum?id=urDdBuhbLx		auto					poster
Diffusion-Driven Two-Stage Active Learning for Low-Budget Semantic Segmentation	NeurIPS	https://github.com/jn-kim/two-stage-edald		https://openreview.net/forum?id=RX5tYZAaeF	be6ad5b1337628c0962627bc56d4fb399bf06e24	auto		True			poster
Storyboard-guided Alignment for Fine-grained Video Action Recognition	NeurIPS			https://openreview.net/forum?id=BL8h1Axr0i		auto					poster
Revisiting Follow-the-Perturbed-Leader with Unbounded Perturbations in Bandit Problems	NeurIPS			https://openreview.net/forum?id=fzyBjGrpp3		auto					poster
Self-Refining Language Model Anonymizers via Adversarial Distillation	NeurIPS			https://openreview.net/forum?id=S1F2qhendd		auto					poster
